bait,bait_uniprot,prey_gene,prey_uniprot
GORASP2,,GOLGA6L2,
GORASP2,,GSTZ1,
GORASP2,,GTF2IRD1,
GORASP2,,HOXC5,
GORASP2,,IFT25,
GORASP2,,KCTD13,
GORASP2,,KCTD7,
GORASP2,,KCTD9,
GORASP2,,KIFC3,
GORASP2,,KRTAP5-11,
GORASP2,,LONRF1,
GORASP2,,MAP1LC3B,
GORASP2,,MATN4,
GORASP2,,MID2,
GORASP2,,MIEN1,
GORASP2,,MPLKIP,
GORASP2,,MSC,
GORASP2,,MYOM3,
GORASP2,,NHSL2,
GORASP2,,NMNAT1,
GORASP2,,NQO2,
GORASP2,,NUDT5,
GORASP2,,ODC1,
GORASP2,,PCBD1,
GORASP2,,PNMA5,
GORASP2,,PRKAB2,
GORASP2,,PRPS1,
GORASP2,,PSMD6,
GORASP2,,RAB27B,
GORASP2,,RAB39A,
GORASP2,,RBM46,
GORASP2,,RGL2,
GORASP2,,RPIA,
GORASP2,,SCAND1,
GORASP2,,SEPTIN1,
GORASP2,,SEPTIN14,
GORASP2,,TAGLN,
GORASP2,,TLE5,
GORASP2,,TP53RK,
GORASP2,,TPH1,
GORASP2,,TRAF1,
GORASP2,,TRAF2,
GORASP2,,TRAPPC6A,
GORASP2,,TRIM38,
GORASP2,,TRPT1,
GORASP2,,TSC22D1,
GORASP2,,TSEN15,
GORASP2,,TSN,
GORASP2,,TTC19,
GORASP2,,TXLNA,
GORASP2,,UBE2Z,
GORASP2,,UBL3,
GORASP2,,VPS37B,
GORASP2,,VPS52,
GORASP2,,XPNPEP1,
GORASP2,,ZBED1,
GORASP2,,ZMYND19,
GORASP2,,ZNF148,
GPRASP2,,CAVIN3,
GPRASP2,,CCDC146,
GPRASP2,,CFAP206,
GPRASP2,,EFCAB3,
GPRASP2,,FAM124B,
GPRASP2,,FCHSD2,
GPRASP2,,GADD45GIP1,
GPRASP2,,MBD3L2,
GPRASP2,,PIH1D2,
GPRASP2,,PLAC9,
GPRASP2,,RABGEF1,
GPRASP2,,REX1BD,
GPRASP2,,RHPN1,
GPRASP2,,RNF8,
GPRASP2,,SAPCD2,
GPRASP2,,SEZ6L,
GPRASP2,,SH2D4A,
GPRASP2,,SREK1,
GPRASP2,,TBRG4,
GPRASP2,,TCF25,
GPRASP2,,TTC23,
GPRASP2,,TXN2,
GPRASP2,,USP20,
GPRASP2,,ZC2HC1C,
GPSM3,,ACMSD,
GPSM3,,ANKRD33,
GPSM3,,ASB15,
GPSM3,,BATF2,
GPSM3,,BMF,
GPSM3,,C9orf57,
GPSM3,,CHRDL2,
GPSM3,,COA7,
GPSM3,,CTAG1A,
GPSM3,,FAM86C1P,
GPSM3,,GATAD2B,
GPSM3,,GNAI1,
GPSM3,,GNAI3,
GPSM3,,HELT,
GPSM3,,HIGD2B,
GPSM3,,HSF2BP,
GPSM3,,IQCE,
GPSM3,,IVD,
GPSM3,,KCNJ5-AS1,
GPSM3,,KRTAP11-1,
GPSM3,,KRTAP13-3,
GPSM3,,KRTAP19-4,
GPSM3,,MBD3L1,
GPSM3,,NR0B2,
GPSM3,,PRR5,
GPSM3,,RIPK4,
GPSM3,,RSPO4,
GPSM3,,SPAG8,
GPSM3,,SPMIP5,
GPSM3,,SPRY3,
GPSM3,,STXBP5L,
GPSM3,,TEX11,
GPSM3,,UFSP1,
GPSM3,,YWHAZ,
GPSM3,,ZNF20,
GPSM3,,ZNF581,
GSTM4,,GSTM3,
GSTM4,,GSTM5,
GTF3C6,,SPATC1L,
GTPBP4,,COPB1,
H1-7,,H2BC15,
H1-7,,MEOX2,
HOXA1,,ADAM12,
HOXA1,,ADAMTSL4,
HOXA1,,AGXT,
HOXA1,,ALPP,
HOXA1,,AMMECR1,
HOXA1,,AMOT,
HOXA1,,ANKS1A,
HOXA1,,ARID5A,
HOXA1,,ARMC7,
HOXA1,,ATG9B,
HOXA1,,ATP23,
HOXA1,,BAG4,
HOXA1,,BAHD1,
HOXA1,,BATF2,
HOXA1,,BLCAP,
HOXA1,,BLZF1,
HOXA1,,BSCL2,
HOXA1,,BUD31,
HOXA1,,CATSPER1,
HOXA1,,CCDC120,
HOXA1,,CCN3,
HOXA1,,CCN5,
HOXA1,,CCNK,
HOXA1,,CD164,
HOXA1,,CDPF1,
HOXA1,,CERCAM,
HOXA1,,CFAP68,
HOXA1,,CFP,
HOXA1,,CHIC2,
HOXA1,,CHRDL2,
HOXA1,,CNFN,
HOXA1,,CNNM3,
HOXA1,,COL8A1,
HOXA1,,CREB5,
HOXA1,,CUTA,
HOXA1,,CXCL16,
HOXA1,,CYP21A2,
HOXA1,,CYSRT1,
HOXA1,,DOCK2,
HOXA1,,DOCK3,
HOXA1,,DOK3,
HOXA1,,DTX2,
HOXA1,,DUSP10,
HOXA1,,EFEMP1,
HOXA1,,EGFL7,
HOXA1,,ENKD1,
HOXA1,,EPDR1,
HOXA1,,ESM1,
HOXA1,,ESR2,
HOXA1,,EVA1B,
HOXA1,,FAAP100,
HOXA1,,FAM219B,
HOXA1,,FAM221A,
HOXA1,,FBLN1,
HOXA1,,FHL3,
HOXA1,,FHL5,
HOXA1,,FOXH1,
HOXA1,,FOXN1,
HOXA1,,FRS3,
HOXA1,,FST,
HOXA1,,FUCA2,
HOXA1,,GAS8,
HOXA1,,GATA1,
HOXA1,,GCM2,
HOXA1,,GDF15,
HOXA1,,GNE,
HOXA1,,GPRASP3,
HOXA1,,GPS2,
HOXA1,,GRN,
HOXA1,,GSTP1,
HOXA1,,GUCD1,
HOXA1,,HEXB,
HOXA1,,HEXIM2,
HOXA1,,HEY2,
HOXA1,,HOXB9,
HOXA1,,HSD3B7,
HOXA1,,ID3,
HOXA1,,IGFL1,
HOXA1,,IGFN1,
HOXA1,,INCA1,
